10Bet 		1.67 	3.75 	6.10
12BET 		1.67 	3.80 	5.30
188BET 		1.68 	3.80 	5.70
1xBet 		1.69 	3.84 	6.30
888sport 		1.63 	3.65 	6.10
bet-at-home 		1.70 	3.75 	5.40
bet365 		1.66 	3.75 	6.50
Betclic 		1.70 	3.90 	6.00
Betfair 		1.67 	3.75 	6.00
Betsafe 		1.71 	3.80 	5.65
Betsson 		1.71 	3.80 	5.65
BetVictor 		1.67 	3.80 	6.00
Betway 		1.67 	3.75 	6.00
bwin 		1.65 	3.75 	6.25
ComeOn 		1.67 	3.70 	6.15
Interwetten 		1.70 	3.80 	5.00
Paddy Power 		1.57 	3.50 	5.50
Pinnacle 		1.69 	3.76 	6.16
SBOBET 		1.69 	3.65 	5.40
Sportingbet 		1.57 	3.40 	5.20
Unibet 		1.67 	3.75 	6.25
William Hill 		1.70 	3.60 	6.00
youwin 		1.55 	3.30 	5.20
Betfair Exchange 		1.67 	3.66 	6.13
