10Bet 		1.69 	3.65 	6.00
12BET 		1.70 	3.50 	5.70
188BET 		1.69 	3.65 	6.00
1xBet 		1.70 	3.82 	6.15
888sport 		1.65 	3.55 	6.10
bet-at-home 		1.67 	3.65 	6.00
bet365 		1.70 	3.75 	5.75
Betclic 		1.70 	3.80 	6.00
Betfair 		1.70 	3.70 	6.00
Betsafe 		1.70 	3.75 	6.00
Betsson 		1.70 	3.75 	6.00
BetVictor 		1.73 	3.50 	6.00
Betway 		1.73 	3.60 	5.75
bwin 		1.67 	3.70 	6.25
ComeOn 		1.71 	3.65 	6.00
Interwetten 		1.60 	3.80 	6.20
Paddy Power 		1.62 	3.50 	5.00
Pinnacle 		1.71 	3.66 	6.10
SBOBET 		1.70 	3.55 	5.40
Sportingbet 		1.60 	3.30 	5.20
Unibet 		1.70 	3.65 	6.25
William Hill 		1.70 	3.50 	6.00
youwin 		1.57 	3.25 	5.20
Betfair Exchange 		1.68 	3.66 	5.94
