10Bet 		3.15 	2.90 	2.70
12BET 		3.00 	2.87 	2.69
188BET 		3.15 	3.00 	2.61
1xBet 		3.52 	2.87 	2.47
888sport 		3.05 	2.88 	2.65
bet-at-home 		3.15 	2.90 	2.63
bet365 		3.20 	2.90 	2.70
Betclic 		3.15 	3.05 	2.70
Betfair 		3.10 	2.90 	2.75
Betsafe 		3.15 	2.95 	2.70
Betsson 		3.25 	3.00 	2.60
BetVictor 		3.13 	2.90 	2.63
Betway 		3.20 	2.90 	2.70
bwin 		3.10 	2.95 	2.70
ComeOn 		3.15 	2.90 	2.70
Interwetten 		3.40 	3.10 	2.30
Paddy Power 		3.00 	2.70 	2.50
Pinnacle 		3.22 	2.95 	2.70
SBOBET 		3.00 	2.91 	2.66
Sportingbet 		2.85 	2.70 	2.50
Unibet 		3.15 	2.95 	2.72
William Hill 		3.00 	2.90 	2.62
youwin 		2.80 	2.65 	2.45
Betfair Exchange 		3.14 	2.86 	2.67
