10Bet 		7.25 	4.65 	1.45
12BET 		7.40 	4.75 	1.42
188BET 		7.30 	4.75 	1.46
1xBet 		8.50 	4.72 	1.41
888sport 		7.50 	4.50 	1.44
bet-at-home 		7.25 	4.40 	1.48
bet365 		7.75 	4.75 	1.44
Betclic 		7.00 	4.70 	1.52
Betfair 		7.50 	4.75 	1.47
Betsafe 		7.40 	4.65 	1.49
Betsson 		7.40 	4.65 	1.49
BetVictor 		6.50 	4.75 	1.50
Betway 		6.50 	4.75 	1.50
bwin 		7.75 	4.75 	1.45
ComeOn 		7.25 	4.65 	1.45
Interwetten 		6.00 	4.20 	1.55
Paddy Power 		6.00 	4.33 	1.40
Pinnacle 		7.53 	4.68 	1.49
SBOBET 		6.60 	4.50 	1.48
Sportingbet 		6.25 	4.00 	1.40
Unibet 		7.60 	4.60 	1.48
William Hill 		7.00 	4.33 	1.44
youwin 		6.25 	3.90 	1.38
Betfair Exchange 		7.27 	4.61 	1.48
