10Bet 		1.20 	6.55 	21.25
12BET 		1.17 	6.80 	19.00
188BET 		1.22 	6.70 	16.00
1xBet 		1.19 	6.70 	20.00
888sport 		1.18 	6.50 	19.00
bet-at-home 		1.21 	6.50 	17.00
bet365 		1.20 	6.75 	21.00
Betclic 		1.23 	7.00 	19.00
Betfair 		1.20 	7.00 	21.00
Betsafe 		1.20 	7.15 	20.00
Betsson 		1.20 	7.15 	20.00
BetVictor 		1.22 	6.50 	17.00
Betway 		1.20 	6.75 	19.00
bwin 		1.20 	6.75 	19.50
ComeOn 		1.20 	6.55 	21.25
Interwetten 		1.22 	6.60 	12.50
Paddy Power 		1.17 	6.00 	15.00
Pinnacle 		1.21 	6.75 	19.50
SBOBET 		1.19 	6.60 	18.00
Sportingbet 		1.17 	5.50 	13.00
Unibet 		1.21 	6.75 	20.00
William Hill 		1.20 	6.50 	19.00
youwin 		1.14 	5.50 	13.00
Betfair Exchange 		1.21 	6.70 	21.90
