10Bet 		8.75 	3.90 	1.51
12BET 		8.50 	3.85 	1.49
188BET 		8.40 	4.10 	1.50
1xBet 		8.20 	4.24 	1.53
888sport 		8.50 	4.00 	1.46
bet-at-home 		7.50 	4.00 	1.52
bet365 		9.00 	4.00 	1.50
Betclic 		7.75 	4.00 	1.50
Betfair 		8.50 	4.20 	1.50
Betsafe 		9.20 	4.20 	1.48
Betsson 		8.40 	4.10 	1.52
BetVictor 		8.00 	4.10 	1.50
Betway 		8.00 	4.20 	1.50
bwin 		8.25 	4.10 	1.50
ComeOn 		8.75 	3.90 	1.50
Interwetten 		7.00 	4.20 	1.50
Paddy Power 		7.50 	3.75 	1.40
Pinnacle 		8.82 	4.05 	1.52
SBOBET 		7.80 	3.90 	1.50
Sportingbet 		6.50 	3.70 	1.44
Unibet 		8.60 	4.20 	1.49
William Hill 		8.00 	4.00 	1.50
youwin 		6.50 	3.60 	1.42
Betfair Exchange 		8.79 	4.04 	1.49
