10Bet 		3.90 	3.00 	2.25
12BET 		3.55 	3.00 	2.29
188BET 		3.60 	3.05 	2.31
1xBet 		4.28 	2.97 	2.15
888sport 		3.80 	2.90 	2.23
bet-at-home 		3.75 	2.92 	2.28
bet365 		3.90 	3.00 	2.30
Betclic 		3.90 	3.05 	2.35
Betfair 		4.00 	3.00 	2.30
Betsafe 		3.95 	3.00 	2.30
Betsson 		3.95 	3.00 	2.30
BetVictor 		3.70 	3.10 	2.30
Betway 		3.80 	3.10 	2.25
bwin 		3.90 	3.00 	2.25
ComeOn 		3.95 	2.95 	2.30
Interwetten 		3.70 	3.00 	2.30
Paddy Power 		3.60 	2.80 	2.10
Pinnacle 		3.90 	2.99 	2.33
SBOBET 		3.50 	2.98 	2.33
Sportingbet 		3.40 	2.80 	2.13
Unibet 		3.90 	3.00 	2.30
William Hill 		3.75 	2.90 	2.25
youwin 		3.30 	2.75 	2.08
Betfair Exchange 		3.85 	2.95 	2.25
