10Bet 		2.20 	2.95 	4.15
12BET 		2.23 	2.96 	3.75
188BET 		2.21 	2.92 	4.15
1xBet 		2.22 	3.05 	4.28
888sport 		2.16 	2.88 	4.10
bet-at-home 		2.25 	2.90 	4.00
bet365 		2.20 	3.00 	4.20
Betclic 		2.20 	2.90 	4.10
Betfair 		2.20 	2.90 	4.33
Betsafe 		2.21 	3.00 	4.25
Betsson 		2.21 	3.00 	4.25
BetVictor 		2.25 	2.90 	4.20
Betway 		2.25 	3.00 	4.00
bwin 		2.20 	2.95 	4.25
ComeOn 		2.20 	2.95 	4.15
Interwetten 		2.10 	3.10 	4.00
Paddy Power 		2.10 	2.75 	4.00
Pinnacle 		2.21 	3.01 	4.25
SBOBET 		2.22 	2.99 	3.75
Sportingbet 		2.10 	2.63 	3.80
Unibet 		2.22 	2.95 	4.25
William Hill 		2.25 	2.88 	4.00
youwin 		2.08 	2.60 	3.75
Betfair Exchange 		2.20 	2.90 	4.14
