10Bet 		1.32 	5.30 	11.75
12BET 		1.29 	5.30 	12.00
188BET 		1.32 	5.30 	11.50
1xBet 		1.34 	5.65 	11.50
888sport 		1.30 	5.30 	11.00
bet-at-home 		1.33 	5.10 	10.50
bet365 		1.33 	5.50 	11.00
Betclic 		1.32 	5.00 	9.75
Betfair 		1.33 	5.00 	12.00
Betsafe 		1.34 	5.45 	10.50
Betsson 		1.34 	5.45 	10.50
BetVictor 		1.30 	5.50 	11.50
Betway 		1.35 	5.25 	10.00
bwin 		1.33 	5.25 	11.00
ComeOn 		1.32 	5.30 	11.75
Interwetten 		1.35 	4.75 	10.00
Paddy Power 		1.25 	4.50 	10.00
Pinnacle 		1.33 	5.44 	11.98
SBOBET 		1.32 	5.40 	9.75
Sportingbet 		1.29 	4.50 	8.25
Unibet 		1.33 	5.45 	11.25
William Hill 		1.33 	5.00 	11.00
youwin 		1.25 	4.50 	8.00
Betfair Exchange 		1.31 	5.47 	11.93
