10Bet 		1.21 	6.50 	17.50
12BET 		1.21 	6.60 	13.00
188BET 		1.22 	6.90 	15.00
1xBet 		1.20 	6.95 	19.00
888sport 		1.18 	6.50 	20.00
bet-at-home 		1.21 	6.50 	17.00
bet365 		1.20 	7.00 	19.00
Betclic 		1.23 	6.80 	19.00
Betfair 		1.22 	6.50 	18.00
Betsafe 		1.22 	6.75 	19.50
Betsson 		1.22 	6.75 	19.50
BetVictor 		1.22 	6.50 	17.00
Betway 		1.25 	6.50 	13.00
bwin 		1.20 	7.00 	18.50
ComeOn 		1.21 	6.50 	17.75
Interwetten 		1.17 	7.30 	16.50
Paddy Power 		1.14 	6.00 	14.00
Pinnacle 		1.22 	6.72 	18.50
SBOBET 		1.22 	6.00 	15.50
Sportingbet 		1.17 	5.75 	12.00
Unibet 		1.20 	6.70 	21.00
William Hill 		1.22 	5.80 	19.00
youwin 		1.14 	5.75 	12.00
Betfair Exchange 		1.22 	6.70 	17.63
