10Bet 		1.36 	5.10 	10.00
12BET 		1.34 	4.80 	10.00
188BET 		1.35 	5.15 	10.00
1xBet 		1.31 	5.00 	12.50
888sport 		1.35 	4.80 	9.50
bet-at-home 		1.36 	4.90 	9.75
bet365 		1.36 	5.10 	10.50
Betclic 		1.38 	5.00 	11.00
Betfair 		1.36 	5.00 	9.50
Betsafe 		1.41 	5.00 	9.00
Betsson 		1.41 	5.00 	9.00
BetVictor 		1.36 	5.25 	9.50
Betway 		1.36 	5.00 	10.00
bwin 		1.36 	5.25 	9.75
ComeOn 		1.35 	5.15 	10.00
Interwetten 		1.30 	5.50 	10.00
Paddy Power 		1.30 	4.50 	8.00
Pinnacle 		1.38 	5.15 	9.65
SBOBET 		1.36 	5.00 	8.50
Sportingbet 		1.30 	4.50 	7.50
Unibet 		1.38 	5.00 	10.00
William Hill 		1.36 	4.50 	9.00
youwin 		1.29 	4.50 	7.25
Betfair Exchange 		1.37 	5.09 	9.55
